# y+ ()       
# Time        	patch         	min           	max           	average       
800           	casco	9.713048e-01	1.150716e+03	8.276732e+01
800           	pilota	1.326301e-01	1.187751e+03	4.606607e+01
800           	ventole	3.981043e-01	7.726703e+01	9.613503e+00
800           	carena	2.581143e-01	1.194563e+03	4.373863e+01
800           	coda	7.300963e-07	6.698092e+02	2.791580e+01
800           	parafango	2.596593e+00	7.709162e+02	7.419696e+01
800           	parafPost	1.720393e+00	7.682873e+02	7.803199e+01
800           	muri	1.035893e-01	2.431032e+02	2.630147e+01
900           	RA	4.549077e+00	1.049695e+03	7.215540e+01
900           	RP	1.794582e-01	7.446989e+02	4.358680e+01
900           	body	1.310349e-07	1.113050e+03	5.996199e+01
900           	casco	1.188367e+00	1.192924e+03	8.093036e+01
900           	pilota	4.269744e-02	1.274217e+03	4.502163e+01
900           	ventole	5.715928e-01	9.177032e+01	1.263343e+01
900           	carena	4.292711e-02	1.113754e+03	4.369452e+01
900           	coda	1.285912e-05	8.168245e+02	2.710208e+01
900           	parafango	2.484993e+00	7.032117e+02	7.437026e+01
900           	parafPost	2.553423e+00	8.568209e+02	7.520931e+01
900           	muri	1.555322e-01	2.441472e+02	2.629156e+01
1000          	RA	2.875136e+00	1.006366e+03	7.136277e+01
1000          	RP	1.856786e-01	7.444341e+02	4.297136e+01
1000          	body	1.350233e-07	1.153226e+03	6.062905e+01
1000          	casco	1.639233e+00	1.200570e+03	8.087210e+01
1000          	pilota	1.074966e-01	1.231502e+03	4.541445e+01
1000          	ventole	2.539357e-01	8.173218e+01	8.857286e+00
1000          	carena	5.046109e-02	1.154103e+03	4.363946e+01
1000          	coda	1.708370e-05	8.302376e+02	2.619801e+01
1000          	parafango	1.960494e+00	7.691419e+02	7.481071e+01
1000          	parafPost	4.277304e-01	8.601917e+02	7.806989e+01
1000          	muri	1.173849e-01	2.456319e+02	2.629937e+01
